Observation ID,Incident_Type,Severity,Short Description
59,Software Bug,High,Customers unable to access their support tickets due to system error
60,Server Outage,Medium,Unauthorized access to employee compensation records
61,Cyber Attack,High,Faulty mouse in the HR department
62,Hardware Failure,Low,Customers unable to access their account settings due to system error
63,Software Bug,High,"Website down for 3 hours, causing major revenue loss"
64,Network Outage,Critical,Printer in HR department not working
65,Data Breach,High,Mobile app crashing on launch for Android users
66,Software Bug,Medium,Malfunctioning printer in the accounting department
67,Server Outage,High,Error in calculating total sales commission
68,Cyber Attack,Critical,Server crash due to power surge
69,Hardware Failure,Low,Incorrect data displayed in the customer portal
70,Software Bug,High,Laptop battery not charging properly
71,Network Outage,Medium,Firewall blocking access to essential websites
72,Data Breach,High,Glitch in the automated email scheduler
73,Software Bug,Low,Printer not functioning due to paper jam
74,Server Outage,Critical,VPN connection dropping frequently
75,Cyber Attack,High,Incorrect calculations in the financial reporting tool
76,Hardware Failure,Medium,Faulty RAM causing system crashes
77,Software Bug,High,Intermittent connectivity issues with the cloud storage
78,Network Outage,Low,Incorrect formatting in the PDF export feature
79,Data Breach,Critical,Hard drive failure on a critical server
80,Software Bug,High,Unauthorized access attempts detected on the firewall
81,Server Outage,Medium,Incorrect sorting in the customer database
82,Cyber Attack,High,Faulty power supply in the office workstation
83,Hardware Failure,Low,Slow response times from the API server
84,Software Bug,High,Incorrect formatting in the Excel export feature
85,Network Outage,Critical,Faulty RAID controller causing data loss
86,Data Breach,High,Unauthorized access attempts detected on the VPN
87,Software Bug,Medium,Incorrect calculations in the inventory management system
88,Server Outage,High,Faulty HDMI port on the conference room display
89,Cyber Attack,Critical,Slow response times from the cloud storage service
90,Hardware Failure,Low,Intermittent connectivity issues with the VPN
91,Software Bug,High,Incorrect sorting in the employee database
92,Network Outage,Medium,Faulty power supply in the data center server
93,Data Breach,High,Incorrect formatting in the CSV export feature
94,Software Bug,Low,Incorrect calculations in the payroll system
95,Server Outage,Critical,Faulty RAID controller causing data
96,Software Bug,High,Login failure for multiple users
97,Software Bug,Medium,Unexpected application crash during data import
98,Software Bug,Low,Minor UI glitch in the settings page
99,Server Outage,High,Data synchronization issue between servers
100,Software Bug,Medium,Slow performance on the dashboard
101,Cyber Attack,High,Security vulnerability found in user authentication
102,Documentation,Low,Typo in the user manual
103,Software Bug,Medium,Email notifications not being sent
104,Server Outage,High,Server downtime affecting all users
105,Software Bug,Medium,API response time exceeding limits
106,Documentation,Low,Outdated library version warning
107,Data Breach,High,Data loss reported after last update
108,Feature Request,Medium,Feature request for dark mode
109,Software Bug,Low,Incorrect tooltip text in the application
110,Server Outage,High,Third-party service outage impacting functionality
111,Feature Request,Medium,User feedback on navigation issues
112,Documentation,Low,Missing help documentation for new features
113,Software Bug,High,Critical bug in payment processing module
114,Software Bug,Medium,Inconsistent data displayed on reports
115,Software Bug,Low,Color contrast issue in the footer
116,Cyber Attack,High,Unauthorized access attempt detected
117,Software Bug,Medium,User interface not responsive on mobile
118,Feature Request,Low,Feedback on loading animation speed
119,Hardware Failure,High,Backup failure leading to data loss
120,Software Bug,Medium,Integration issue with third-party API
121,Documentation,Low,Minor spelling error in the footer
122,Cyber Attack,High,Malware detected in the application
123,Software Bug,Medium,User unable to reset password
124,Feature Request,Low,Request for additional language support
125,Server Outage,High,Performance degradation during peak hours
126,Software Bug,Medium,Feature not working as intended
127,Software Bug,Low,Visual inconsistency in the dashboard
128,Data Breach,High,Data breach reported
129,Software Bug,Medium,User unable to access account settings
130,Feature Request,Low,Request for improved error messages
131,Cyber Attack,High,Server security patch not applied
132,Software Bug,Medium,Unexpected logout during session
133,Documentation,Low,Request for additional training materials
134,Software Bug,High,Critical error in data migration process
135,Software Bug,Medium,User interface lagging during updates
136,Feature Request,Low,Request for feature clarification
137,Software Bug,High,Payment gateway not functioning
138,Feature Request,Medium,User feedback on feature usability
139,Feature Request,Low,Request for more customization options
140,Software Bug,High,System crash during peak usage
141,Software Bug,Medium,Email formatting issues
142,Software Bug,Low,Minor layout issue on the homepage
143,Cyber Attack,High,Unauthorized data access detected
144,Software Bug,Medium,User unable to upload files
145,Feature Request,Low,Request for a new color scheme
146,Software Bug,High,Data corruption in user profiles
147,Feature Request,Medium,Feature request for multi-language support
148,Documentation,Low,Typo in the error message
149,Cyber Attack,High,Critical vulnerability in the API
150,Feature Request,Medium,User feedback on navigation improvements
151,Feature Request,Low,Request for improved onboarding process
152,Server Outage,High,Server overload causing downtime
153,Software Bug,Medium,User unable to access premium features
154,Feature Request,Low,Request for a mobile app version
155,Software Bug,High,Data synchronization failure
156,Software Bug,Medium,User interface not displaying correctly
157,Documentation,Low,Request for more API documentation
158,Cyber Attack,High,Security audit failure
159,Performance,Medium,User feedback on performance issues
160,Feature Request,Low,Request for improved search functionality
161,Software Bug,High,Data loss during software update
162,Software Bug,Medium,User unable to change profile picture
163,Feature Request,Low,Request for better error handling
164,Software Bug,High,Critical bug in the reporting module
165,Performance,Medium,User feedback on mobile usability
166,Documentation,Low,Request for more tutorial videos
167,Cyber Attack,High,Unauthorized access to sensitive data
168,Software Bug,Medium,User unable to access support resources
169,Feature Request,Low,Request for improved notification settings
170,Software Bug,High,Server configuration error
171,Feature Request,Medium,User feedback on feature clarity
172,Documentation,Low,Data integrity issue in reports
173,Software Bug,High,User unable to access historical data
174,Software Bug,Medium,Request for improved user experience
175,Feature Request,Low,Server security breach
176,Cyber Attack,High,User feedback on loading times
177,Performance,Medium,Critical failure in backup system
178,Feature Request,Low,Request for improved mobile interface
179,Hardware Failure,High,Data leak in user profiles
180,Software Bug,Medium,User feedback on feature performance
181,Feature Request,Low,Request for additional training sessions
182,Data Breach,High,System vulnerability detected
183,Performance,Medium,User unable to receive notifications
184,Documentation,Low,Request for improved documentation
185,Cyber Attack,High,Payment processing error
186,Software Bug,Medium,User feedback on navigation
187,Documentation,Low,Request for more user guides
188,Software Bug,High,Data corruption during updates
189,Performance,Medium,Request for improved search results
190,Documentation,Low,Security issue with user accounts
191,Software Bug,High,User feedback on application speed
192, Software Bug,, Login feature not working
193, Server Outage,, Server down for 2 hours
194, Data Breach,, Unauthorized access to user data
195, Cyber Attack,, DDoS attack on website
196, Hardware Failure,, Disk failure on database server
197, Network Outage,, Internet connectivity issues
198, Software Bug,, Error in payment processing
199, Server Outage,, Server crash due to high traffic
200, Data Breach,, Sensitive data exposed on website
201, Cyber Attack,, Phishing attack on employees
202, Hardware Failure,, Power supply failure on server
203, Network Outage,, Network congestion issues
204, Software Bug,, Issue with search functionality
205, Server Outage,, Server maintenance issues
206, Data Breach,, Data leak due to misconfigured database
207, Network Outage,, Connectivity issues with cloud provider
208, Cyber Attack, Medium, Malware attack on employee laptop
209, Hardware Failure, Medium, Failure of redundant power supply
210, Network Outage, Low, Internet service provider issues
211, Software Bug, Medium, Bug in mobile app login
212, Server Outage, High, Server overload due to high traffic
213, Data Breach, Critical, Data exposure due to misconfigured API
214, Cyber Attack, Critical, Ransomware attack on company data
215, Hardware Failure, Medium, Disk failure on file server
216, Network Outage, Medium, Network switch failure
217, Software Bug, Low, Error in report generation
218, Server Outage, High, Server hardware failure
219, Data Breach, Critical, Data leak due to insider threat
220, Cyber Attack, Medium, Phishing attack on customers
221, Hardware Failure, Medium, Failure of cooling system
222, Software Bug, Medium, Issue with payment gateway
223,Software Bug,High,User unable to save changes in the application.
224,Server Outage,Critical,Main application server went down for 2 hours.
225,Data Breach,Critical,Unauthorized access to customer database detected.
226,Cyber Attack,Critical,DDoS attack targeted the company website.
227,Hardware Failure,Critical,Disk failure on primary database server.
228,Network Outage,High,Internet connectivity lost for the entire office.
229,Software Bug,Medium,Error message displayed when generating reports.
230,Server Outage,Critical,Backup server failed during routine maintenance.
231,Data Breach,Critical,Sensitive user data exposed due to misconfiguration.
232,Cyber Attack,Medium,Phishing attempt reported from multiple users.
233,Hardware Failure,Critical,Power supply failure in the main server rack.
234,Network Outage,High,VPN service unavailable for remote workers.
235,Software Bug,High,Application crashes when uploading files larger than 5MB.
236,Server Outage,Medium,Development server went offline unexpectedly.
237,Data Breach,Critical,Employee credentials leaked on the dark web.
238,Cyber Attack,Critical,Ransomware attempt blocked by security software.
239,Hardware Failure,Critical,Overheating issue in the mainframe server.
240,Network Outage,High,Local area network down for 3 hours.
241,Software Bug,Medium,Feature not functioning as intended after update.
242,Server Outage,High,Staging server crashed during testing phase.
243,Data Breach,Critical,Third-party vendor exposed user data.
244,Cyber Attack,High,Malware detected on employee workstations.
245,Hardware Failure,Medium,Router failure caused network disruptions.
246,Network Outage,Medium,Intermittent connectivity issues reported.
247,Software Bug,High,Incorrect calculations in financial reports.
248,Server Outage,High,Application server rebooted unexpectedly.
249,Data Breach,Critical,User passwords compromised in phishing attack.
250,Cyber Attack,High,SQL injection attempt detected and blocked.
251,Hardware Failure,Critical,Memory module failure in main server.
252,Network Outage,High,ISP issues causing widespread connectivity problems.
253,Software Bug,Medium,Login page not redirecting users correctly.
254,Server Outage,Critical,Database server crashed during peak hours.
255,Data Breach,Critical,Sensitive information leaked through API.
256,Cyber Attack,High,Unauthorized login attempts detected.
257,Hardware Failure,Critical,Cooling system failure in server room.
258,Network Outage,Medium,Wi-Fi network down for 2 hours.
259,Software Bug,Medium,Search functionality returning incorrect results.
260,Server Outage,High,Backup service unavailable during scheduled backup.
261,Data Breach,Critical,Employee data leaked due to insider threat.
262,Cyber Attack,High,Brute force attack on user accounts detected.
263,Hardware Failure,Critical,Failure of RAID array in storage server.
264,Network Outage,Medium,Network latency issues affecting performance.
265,Software Bug,High,Application hangs when processing large datasets.
266,Server Outage,Medium,Development server down for maintenance.
267,Data Breach,Critical,Customer credit card information exposed.
268,Cyber Attack,Critical,Malicious software detected on company network.
269,Hardware Failure,Critical,Power outage caused server shutdown.
270,Network Outage,High,Intermittent issues with external connectivity.
271,Software Bug,Medium,User interface not displaying correctly on mobile.
272,Server Outage,High,Main application server rebooted unexpectedly.
273,Data Breach,Critical,Data leak from cloud storage provider.
274,Cyber Attack,Critical,Attempted data exfiltration detected.
275,Hardware Failure,Critical,Failure of backup power supply.
276,Network Outage,High,Local network outage affecting all employees.
277,Software Bug,Medium,Inconsistent data display in user profiles.
278,Server Outage,Critical,Monitoring system reported server crash.
279,Data Breach,Critical,User data accessed without authorization.
280,Cyber Attack,Critical,Security breach in web application.
281,Hardware Failure,Medium,Faulty network card causing connectivity issues.
282,Network Outage,High,VPN service down for remote employees.
283,Software Bug,High,Error in payment processing module.
284,Server Outage,Medium,Application server down for scheduled maintenance.
285,Data Breach,Critical,Unauthorized access to admin panel detected.
286,Cyber Attack,Critical,Malware infection on file server.
287,Hardware Failure,Critical,Failed hard drive in backup server.
288,Network Outage,High,Internet service disruption due to ISP issues.
289,Software Bug,Medium,Page not loading correctly on certain browsers.
290,Server Outage,Critical,Database server went offline during peak usage.
291,Data Breach,Critical,Confidential documents leaked to public.
292,Cyber Attack,High,Suspicious activity detected on user accounts.
293,Hardware Failure,Critical,Power failure caused multiple servers to shut down.
294,Network Outage,High,Office network down for 4 hours.
295,Software Bug,Medium,Incorrect user permissions assigned in the system.
296,Server Outage,High,Test server crashed during load testing.
297,Data Breach,Critical,Data exposed due to unsecured API endpoints.
298,Cyber Attack,High,Malicious login attempts detected from multiple IPs.
299,Hardware Failure,Medium,Network switch failure causing outages.
300,Network Outage,High,Office Wi-Fi down for several hours.
301,Software Bug,Medium,Application does not support new file formats.
302,Server Outage,Critical,Main server went down due to power issues.
303,Data Breach,Critical,Sensitive user data leaked through third-party app.
304,Cyber Attack,High,Attempted SQL injection detected and blocked.
305,Hardware Failure,Critical,Server room air conditioning failure.
306,Network Outage,Medium,Intermittent connectivity issues reported by users.
307,Software Bug,High,Feature not functioning after recent update.
308,Server Outage,High,Backup server down during critical backup.
309,Data Breach,Critical,User accounts compromised in a social engineering attack.
310,Cyber Attack,Critical,Malware detected on multiple endpoints.
311,Hardware Failure,Critical,Failed power supply in critical server.
312,Network Outage,High,VPN service unavailable for remote access.
313,Software Bug,Medium,Application fails to load user settings.
314,Server Outage,High,Development server crashed during deployment.
315,Data Breach,Critical,Sensitive data leaked due to unpatched vulnerability.
316,Cyber Attack,High,Brute force attack on admin accounts detected.
317,Hardware Failure,Medium,Network cable failure causing disruption.
318,Network Outage,High,Local network down for 3 hours.
319,Software Bug,Medium,Incorrect error messages displayed in application.
320,Server Outage,Critical,Application server went offline unexpectedly.
321,Data Breach,Critical,User data exposed due to insecure storage.
322,Cyber Attack,High,Suspicious file uploads detected on server.
323,Hardware Failure,Critical,Failed hard drive in primary server.
324,Network Outage,High,Internet connectivity issues affecting all users.
325,Software Bug,Medium,Application does not support new user roles.
326,Server Outage,Medium,Staging server down for maintenance.
327,Data Breach,Critical,Customer data leaked through unencrypted channels.
328,Cyber Attack,High,Malicious login attempts from foreign IP addresses.
329,Software Bug,High,User unable to reset password due to error.
330,Server Outage,Critical,Database server went offline unexpectedly.
331,Data Breach,Critical,Sensitive information leaked through third-party vendor.
332,Cyber Attack,Critical,Malware infection detected on company network.
333,Software Bug,High,Application crashes when processing specific data.
334,Cyber Attack,High,Malicious login attempts detected.
335,Data Breach,Critical,Sensitive information leaked through third-party app.
336,Software Bug,High,Database connection error causing downtime in production environment
337,Server Outage,Critical,Unexpected server crash affecting user access
338,Data Breach,Critical,Unauthorized access to customer data due to weak encryption
339,Cyber Attack,Severe,Ransomware attack encrypting critical files
340,Hardware Failure,Medium,Power supply failure leading to server shutdown
341,Network Outage,High,Intermittent network connectivity issues impacting service
342,Software Bug,High,Code deployment causing application to malfunction
343,Server Outage,Critical,Cloud service provider experiencing outage affecting hosted applications
344,Data Breach,Critical,Sensitive data leaked through misconfigured server settings
345,Cyber Attack,Severe,Distributed denial-of-service attack disrupting online services
346,Hardware Failure,High,Faulty hard drive leading to data loss
347,Network Outage,Medium,VPN failure causing remote work disruptions
348,Software Bug,High,Software update causing incompatibility with existing system
349,Hardware Failure,Severe,Data center cooling system failure causing equipment overheating
350,Cyber Attack,High,Phishing attack leading to compromised employee credentials
351,Server Outage,High,Unexpected downtime due to server misconfiguration
352,Data Breach,Critical,Data leakage from an unsecured backup file
353,Software Bug,High,Application crashing under high user load
354,Hardware Failure,Severe,Hardware malfunction in primary database server
355,Cyber Attack,High,Network intrusion attempt detected and mitigated
356,Data Breach,Critical,Software vulnerability exploited leading to unauthorized access
357,Server Outage,High,Server downtime caused by unplanned maintenance
358,Network Outage,Medium,Intermittent internet connection affecting user experience
359,Software Bug,High,Bug in authentication module leading to login issues
360,Hardware Failure,Medium,Power outage causing temporary unavailability of services
361,Cyber Attack,Severe,Website defacement by malicious actors
362,Software Bug,High,Data corruption due to faulty software update
363,Data Breach,Critical,Firewall configuration error exposing internal network
364,Server Outage,Medium,Unexpected server reboot due to firmware bug
365,Network Outage,High,Connection failure between distributed systems affecting service
366,Software Bug,High,Application freeze due to memory leak
367,Hardware Failure,Severe,Loss of critical data due to RAID array failure
368,Cyber Attack,High,Man-in-the-middle attack intercepting sensitive communications
369,Network Outage,Medium,Temporary network outage due to ISP issues
370,Software Bug,High,Deployment error causing system-wide instability
371,Data Breach,Critical,Insecure API leading to unauthorized data access
372,Server Outage,Medium,Server downtime due to power fluctuation
373,Cyber Attack,High,Malware infection on workstation impacting productivity
374,Hardware Failure,Severe,Hardware failure leading to system crashes
375,Software Bug,High,Data integrity issue due to synchronization error
376,Server Outage,Medium,Temporary disruption in cloud services affecting operations
377,Cyber Attack,High,Phishing email compromising multiple employee accounts
378,Data Breach,Critical,Critical data exposed due to database misconfiguration
379,Network Outage,Medium,Network slowdown impacting application performance
380,Software Bug,High,Bug in reporting module causing inaccurate reports
381,Hardware Failure,Severe,Power failure affecting primary data center
382,Cyber Attack,High,Unauthorized access attempt blocked by security measures
383,Server Outage,High,Service disruption due to unexpected server overload
384,Software Bug,High,Data loss caused by software malfunction
385,Hardware Failure,Severe,Critical hardware failure causing prolonged downtime
386,Data Breach,Critical,Security breach due to exposed credentials
387,Network Outage,Medium,VPN service outage affecting remote work capabilities
388,Software Bug,High,Application crash due to unhandled exception
389,Cyber Attack,High,Network intrusion attempt detected and mitigated
390,Server Outage,Medium,Server downtime due to faulty network switch
391,Data Breach,Critical,Data breach due to compromised third-party service
392,Hardware Failure,Medium,Hardware malfunction causing intermittent failures
393,Software Bug,High,Software issue causing system-wide performance degradation
394,Network Outage,Medium,Network connectivity issues impacting cloud applications
395,Cyber Attack,Severe,Malware attack causing data corruption
396,Server Outage,High,Database server crash leading to data access issues
397,Software Bug,High,Data loss due to unplanned server reboot
398,Data Breach,Critical,Security vulnerability exploited leading to data compromise
399,Server Outage,Medium,Server overload causing application downtime
400,Cyber Attack,High,Application vulnerability exploited by attackers
401,Hardware Failure,Medium,Hardware failure resulting in partial system outages
402,Software Bug,High,Configuration error leading to data loss
403,Data Breach,Critical,Security breach due to inadequate access controls
404,Network Outage,Medium,Network outage impacting user access to services
405,Server Outage,High,Server crash due to software incompatibility
406,Software Bug,High,Data corruption caused by failed update script
407,Cyber Attack,Severe,Malicious cyber attack leading to system compromise
408,Hardware Failure,Severe,Hardware failure causing loss of redundant systems
409,Data Breach,Critical,Security vulnerability in software exposed critical data
410,Network Outage,Medium,Network issue causing delay in service response
411,Software Bug,High,Application bug causing service interruptions
412,Server Outage,Medium,Unexpected server shutdown due to cooling system failure
413,Data Breach,Critical,Data breach from exposed API endpoints
414,Cyber Attack,High,Malware infection causing system performance issues
415,Hardware Failure,Medium,Hardware defect leading to intermittent connectivity issues
416,Software Bug,High,Software error causing unexpected application crashes
417,Server Outage,Severe,Server outage due to data center power failure
418,Data Breach,Critical,Sensitive information exposed due to security oversight
419,Network Outage,Medium,Network instability affecting remote team communications
420,Software Bug,High,Bug in user authentication module affecting login
421,Hardware Failure,Severe,Hardware malfunction leading to critical system downtime
422,Cyber Attack,High,Unauthorized access attempt blocked by security team
423,Software Bug,High,Error in user login module causing crashes
424,Server Outage,Critical,Main application server down for 2 hours
425,Data Breach,High,Unauthorized access to user database
426,Cyber Attack,Critical,DDoS attack targeting the company website
427,Hardware Failure,High,Disk failure in RAID array causing data loss
428,Network Outage,Critical,Complete network outage due to router malfunction
429,Software Bug,Medium,Memory leak in payment processing module
430,Server Outage,Medium,Secondary server down for maintenance
431,Data Breach,Medium,Leak of internal email addresses
432,Cyber Attack,Medium,Phishing attempt targeting employees
433,Hardware Failure,High,Power supply failure in critical server
434,Network Outage,Low,Intermittent connectivity issues
435,Software Bug,Medium,Incorrect calculations in reporting module
436,Server Outage,Low,Scheduled maintenance downtime
437,Data Breach,High,Exposure of confidential client information
438,Cyber Attack,Critical,Ransomware attack encrypting files
439,Hardware Failure,High,Failure in backup storage system
440,Network Outage,Medium,Slow network speeds affecting all users
441,Software Bug,Low,UI glitches in mobile application
442,Server Outage,Critical,Database server unavailable for 4 hours
443,Data Breach,High,Leak of source code repository
444,Cyber Attack,High,SQL injection attack on public-facing site
445,Hardware Failure,Critical,Malfunctioning cooling system in server room
446,Network Outage,Medium,VPN service interruption
447,Software Bug,Medium,Incompatibility with latest operating system update
448,Server Outage,High,Unplanned downtime due to hardware upgrade
449,Data Breach,High,Unauthorized access to financial records
450,Cyber Attack,Critical,Malware infection spreading across network
451,Hardware Failure,Medium,Defective network card causing connectivity issues
452,Network Outage,High,DNS server issues causing site unavailability
453,Software Bug,Medium,Incorrect user permissions settings
454,Server Outage,Critical,Server crash due to overload
455,Data Breach,High,Sensitive internal documents leaked
456,Cyber Attack,Medium,Social engineering attack on employees
457,Hardware Failure,Medium,Faulty hard drive in development server
458,Network Outage,High,Cable damage causing regional outage
459,Software Bug,High,Application freezes under heavy load
460,Server Outage,Medium,Backup server not responding
461,Data Breach,High,Exposure of personal identifiable information (PII)
462,Cyber Attack,Critical,Zero-day vulnerability exploited
463,Hardware Failure,Medium,Defective memory module causing crashes
464,Network Outage,Low,Wi-Fi network issues affecting office productivity
465,Software Bug,High,Broken API endpoint in recent release
466,Server Outage,Medium,Server reboot failure
467,Data Breach,High,Unsecured FTP server exposed sensitive data
468,Cyber Attack,Medium,Cryptojacking malware detected
469,Hardware Failure,Critical,Power outage affecting server room
470,Network Outage,Medium,ISP outage causing internet connectivity issues
471,Software Bug,Low,Incorrect data displayed in dashboard
472,Server Outage,High,Unscheduled downtime due to security patch
473,Data Breach,High,Exposure of encryption keys
474,Cyber Attack,Medium,Spoofing attack targeting internal communication
475,Hardware Failure,High,Failed RAID rebuild process
476,Network Outage,Medium,Intermittent latency issues
477,Software Bug,High,Broken user registration process
478,Server Outage,Medium,Unplanned outage due to software conflict
479,Data Breach,High,Leak of employee personal information
480,Cyber Attack,Critical,Worm spreading across the network
481,Hardware Failure,High,Overheating issue in critical server
482,Network Outage,High,Malfunction in network switch causing disruption
483,Software Bug,Medium,Application crashes when saving files
484,Server Outage,Low,Scheduled downtime for software upgrade
485,Data Breach,Medium,Exposure of internal audit logs
486,Cyber Attack,Medium,Credential stuffing attack on login page
487,Hardware Failure,High,Issue with server fan causing thermal shutdown
488,Network Outage,Critical,Broken fiber optic link causing connectivity issues
489,Software Bug,Medium,Error in data synchronization module
490,Server Outage,High,Server downtime due to database corruption
491,Data Breach,High,Public exposure of project plans
492,Cyber Attack,High,Man-in-the-middle attack detected
493,Hardware Failure,Medium,Faulty SSD causing system crashes
494,Network Outage,Low,Problems with wireless access points
495,Software Bug,High,Security flaw in authentication system
496,Server Outage,Medium,Unplanned downtime due to network issue
497,Data Breach,High,Sensitive financial data exposed
498,Cyber Attack,Critical,Exploit of known vulnerability in software
499,Hardware Failure,High,Defective cooling fan causing overheating
500,Network Outage,Medium,LAN issues affecting office operations
501,Software Bug,Medium,Functionality broken in latest patch
502,Server Outage,High,Server down due to outdated firmware
503,Data Breach,Medium,Exposure of customer support chat logs
504,Cyber Attack,Medium,DNS spoofing attack detected
505,Hardware Failure,High,Failed UPS causing power issues
506,Network Outage,High,Regional network disruptions
507,Software Bug,Medium,Issues with third-party library integration
508,Server Outage,High,Database server crash
509,Data Breach,High,Insecure API exposing user data
510,Cyber Attack,Critical,Exploit of zero-day vulnerability
511,Hardware Failure,Medium,Error in network interface card
512,Network Outage,High,Problems with internet service provider
513,Software Bug,Medium,Unexpected behavior in new feature release
514,Server Outage,High,Unplanned downtime due to software error
515,Data Breach,High,Exposure of project source code
516,Cyber Attack,High,Compromised employee credentials
517,Software Bug,High,Login page fails to authenticate users.
518,Server Outage,Critical,"Main server went down, affecting all services."
519,Data Breach,Critical,Unauthorized access to customer data detected.
520,Cyber Attack,Critical,DDoS attack targeted the company website.
521,Hardware Failure,High,Hard drive failure in the backup server.
522,Network Outage,Medium,Network connectivity issues in the office.
523,Software Bug,High,Application crashes when uploading files.
524,Server Outage,High,Database server downtime during maintenance.
525,Data Breach,Critical,Sensitive data exposed due to misconfigured settings.
526,Cyber Attack,Medium,Phishing attempt reported by multiple employees.
527,Hardware Failure,Low,Printer malfunction affecting printing services.
528,Network Outage,High,"VPN service down, affecting remote workers."
529,Software Bug,Medium,Search function returns incorrect results.
530,Server Outage,Critical,"Email server outage, preventing email access."
531,Data Breach,Critical,Employee credentials leaked in a third-party breach.
532,Cyber Attack,Critical,Ransomware detected on employee workstations.
533,Hardware Failure,Critical,Power supply failure in the main server room.
534,Network Outage,Medium,Intermittent internet connectivity issues.
535,Software Bug,High,Mobile app crashes on startup.
536,Server Outage,High,Backup server unavailable during scheduled backup.
537,Data Breach,Critical,Unauthorized access to internal documents.
538,Cyber Attack,High,SQL injection attempt detected on the website.
539,Hardware Failure,High,Network switch failure causing downtime.
540,Network Outage,Medium,Wi-Fi issues affecting office connectivity.
541,Software Bug,High,Incorrect billing amounts displayed in invoices.
542,Server Outage,Critical,Application server downtime due to overload.
543,Data Breach,Critical,Customer payment information compromised.
544,Cyber Attack,Critical,Malware detected on company laptops.
545,Hardware Failure,Critical,Cooling system failure in the server room.
546,Network Outage,Medium,LAN issues affecting internal communication.
547,Software Bug,High,User profiles not saving changes correctly.
548,Server Outage,Critical,"Web server down, affecting public access."
549,Data Breach,Critical,Sensitive employee data exposed on the dark web.
550,Cyber Attack,High,Brute force attack on user accounts detected.
551,Hardware Failure,Critical,"Server rack overheating, causing shutdown."
552,Network Outage,Medium,ISP issues causing internet downtime.
553,Software Bug,High,Notifications not being sent to users.
554,Server Outage,High,Development server unavailable during updates.
555,Data Breach,Critical,Third-party vendor exposed data through API.
556,Cyber Attack,Critical,Attempted data exfiltration detected.
557,Hardware Failure,Critical,Faulty RAM causing server crashes.
558,Network Outage,High,Firewall misconfiguration blocking access.
