Observation ID,Incident_Type,Severity,Short Description,Cleaned_Description,Cluster
159,Performance,Medium,User feedback on performance issues,user feedback performance issue,51
160,Feature Request,Low,Request for improved search functionality,request improve search functionality,49
161,Software Bug,High,Data loss during software update,datum loss software update,30
162,Software Bug,Medium,User unable to change profile picture,user unable change profile picture,35
163,Feature Request,Low,Request for better error handling,request well handle,23
164,Software Bug,High,Critical bug in the reporting module,critical bug reporting module,58
165,Performance,Medium,User feedback on mobile usability,user feedback mobile usability,51
166,Documentation,Low,Request for more tutorial videos,request tutorial video,23
167,Cyber Attack,High,Unauthorized access to sensitive data,unauthorized access sensitive datum,43
168,Software Bug,Medium,User unable to access support resources,user unable access support resource,35
169,Feature Request,Low,Request for improved notification settings,request improve notification setting,23
170,Software Bug,High,Server configuration error,server configuration,16
171,Feature Request,Medium,User feedback on feature clarity,user feedback feature clarity,51
172,Documentation,Low,Data integrity issue in reports,data integrity report,2
173,Software Bug,High,User unable to access historical data,user unable access historical datum,84
174,Software Bug,Medium,Request for improved user experience,request improve user experience,23
175,Feature Request,Low,Server security breach,server security breach,31
176,Cyber Attack,High,User feedback on loading times,user feedback loading time,19
177,Performance,Medium,Critical failure in backup system,critical failure backup system,42
178,Feature Request,Low,Request for improved mobile interface,request improve mobile interface,4
179,Hardware Failure,High,Data leak in user profiles,datum leak user profile,72
180,Software Bug,Medium,User feedback on feature performance,user feedback feature performance,51
181,Feature Request,Low,Request for additional training sessions,request additional training session,23
182,Data Breach,High,System vulnerability detected,system vulnerability detect,24
183,Performance,Medium,User unable to receive notifications,user unable receive notification,46
184,Documentation,Low,Request for improved documentation,request improve documentation,23
185,Cyber Attack,High,Payment processing error,payment processing,20
186,Software Bug,Medium,User feedback on navigation,user feedback navigation,51
187,Documentation,Low,Request for more user guides,request user guide,23
188,Software Bug,High,Data corruption during updates,datum corruption update,30
189,Performance,Medium,Request for improved search results,request improve search result,49
190,Documentation,Low,Security issue with user accounts,security user account,67
191,Software Bug,High,User feedback on application speed,user feedback application speed,19
192, Software Bug,, Login feature not working,login feature work,33
193, Server Outage,, Server down for 2 hours,server 2 hour,52
194, Data Breach,, Unauthorized access to user data,unauthorized access user datum,43
195, Cyber Attack,, DDoS attack on website,ddos attack website,34
196, Hardware Failure,, Disk failure on database server,disk failure database server,6
197, Network Outage,, Internet connectivity issues,internet connectivity issue,44
198, Software Bug,, Error in payment processing,payment processing,20
199, Server Outage,, Server crash due to high traffic,server crash due high traffic,62
200, Data Breach,, Sensitive data exposed on website,sensitive datum expose website,11
201, Cyber Attack,, Phishing attack on employees,phishe attack employee,3
202, Hardware Failure,, Power supply failure on server,power supply failure server,12
203, Network Outage,, Network congestion issues,network congestion issue,7
204, Software Bug,, Issue with search functionality,search functionality,49
205, Server Outage,, Server maintenance issues,server maintenance issue,16
206, Data Breach,, Data leak due to misconfigured database,datum leak due misconfigured database,82
207, Network Outage,, Connectivity issues with cloud provider,connectivity issue cloud provider,44
208, Cyber Attack, Medium, Malware attack on employee laptop,malware attack employee laptop,78
209, Hardware Failure, Medium, Failure of redundant power supply,failure redundant power supply,12
210, Network Outage, Low, Internet service provider issues,internet service provider issue,39
211, Software Bug, Medium, Bug in mobile app login,bug mobile app login,33
212, Server Outage, High, Server overload due to high traffic,server overload due high traffic,37
213, Data Breach, Critical, Data exposure due to misconfigured API,datum exposure due misconfigured api,82
214, Cyber Attack, Critical, Ransomware attack on company data,ransomware attack company datum,10
215, Hardware Failure, Medium, Disk failure on file server,disk failure file server,6
216, Network Outage, Medium, Network switch failure,network switch failure,17
217, Software Bug, Low, Error in report generation,report generation,58
218, Server Outage, High, Server hardware failure,server hardware failure,22
219, Data Breach, Critical, Data leak due to insider threat,datum leak due insider threat,82
220, Cyber Attack, Medium, Phishing attack on customers,phishe attack customer,3
221, Hardware Failure, Medium, Failure of cooling system,failure cool system,8
222, Software Bug, Medium, Issue with payment gateway,payment gateway,20
223,Software Bug,High,User unable to save changes in the application.,user unable save change application,35
224,Server Outage,Critical,Main application server went down for 2 hours.,main application server go 2 hour,52
225,Data Breach,Critical,Unauthorized access to customer database detected.,unauthorized access customer database detect,77
226,Cyber Attack,Critical,DDoS attack targeted the company website.,ddos attack target company website,34
227,Hardware Failure,Critical,Disk failure on primary database server.,disk failure primary database server,6
228,Network Outage,High,Internet connectivity lost for the entire office.,internet connectivity lose entire office,36
229,Software Bug,Medium,Error message displayed when generating reports.,message display generating report,58
230,Server Outage,Critical,Backup server failed during routine maintenance.,backup server fail routine maintenance,42
231,Data Breach,Critical,Sensitive user data exposed due to misconfiguration.,sensitive user datum expose due misconfiguration,11
232,Cyber Attack,Medium,Phishing attempt reported from multiple users.,phishe attempt report multiple user,3
233,Hardware Failure,Critical,Power supply failure in the main server rack.,power supply failure main server rack,12
234,Network Outage,High,VPN service unavailable for remote workers.,vpn service unavailable remote worker,26
235,Software Bug,High,Application crashes when uploading files larger than 5MB.,application crash upload file large 5 mb,56
236,Server Outage,Medium,Development server went offline unexpectedly.,development server go offline unexpectedly,87
237,Data Breach,Critical,Employee credentials leaked on the dark web.,employee credential leak dark web,29
238,Cyber Attack,Critical,Ransomware attempt blocked by security software.,ransomware attempt block security software,10
239,Hardware Failure,Critical,Overheating issue in the mainframe server.,overheat mainframe server,8
240,Network Outage,High,Local area network down for 3 hours.,local area network 3 hour,89
241,Software Bug,Medium,Feature not functioning as intended after update.,feature function intend update,28
242,Server Outage,High,Staging server crashed during testing phase.,staging server crashed testing phase,54
243,Data Breach,Critical,Third-party vendor exposed user data.,thirdparty vendor expose user datum,84
244,Cyber Attack,High,Malware detected on employee workstations.,malware detect employee workstation,78
245,Hardware Failure,Medium,Router failure caused network disruptions.,router failure cause network disruption,86
246,Network Outage,Medium,Intermittent connectivity issues reported.,intermittent connectivity issue report,44
247,Software Bug,High,Incorrect calculations in financial reports.,incorrect calculation financial report,32
248,Server Outage,High,Application server rebooted unexpectedly.,application server reboot unexpectedly,62
249,Data Breach,Critical,User passwords compromised in phishing attack.,user password compromise phishe attack,3
250,Cyber Attack,High,SQL injection attempt detected and blocked.,sql injection attempt detect block,0
251,Hardware Failure,Critical,Memory module failure in main server.,memory module failure main server,76
252,Network Outage,High,ISP issues causing widespread connectivity problems.,isp issue cause widespread connectivity problem,39
253,Software Bug,Medium,Login page not redirecting users correctly.,login page redirect user correctly,33
254,Server Outage,Critical,Database server crashed during peak hours.,database server crash peak hour,37
255,Data Breach,Critical,Sensitive information leaked through API.,sensitive information leak api,5
256,Cyber Attack,High,Unauthorized login attempts detected.,unauthorized login attempt detect,18
257,Hardware Failure,Critical,Cooling system failure in server room.,cool system failure server room,8
258,Network Outage,Medium,Wi-Fi network down for 2 hours.,wifi network 2 hour,36
259,Software Bug,Medium,Search functionality returning incorrect results.,search functionality return incorrect result,49
260,Server Outage,High,Backup service unavailable during scheduled backup.,backup service unavailable schedule backup,42
261,Data Breach,Critical,Employee data leaked due to insider threat.,employee datum leak due insider threat,5
262,Cyber Attack,High,Brute force attack on user accounts detected.,brute force attack user account detect,18
263,Hardware Failure,Critical,Failure of RAID array in storage server.,failure raid array storage server,75
264,Network Outage,Medium,Network latency issues affecting performance.,network latency issue affect performance,7
265,Software Bug,High,Application hangs when processing large datasets.,application hang process large dataset,56
266,Server Outage,Medium,Development server down for maintenance.,development server maintenance,16
267,Data Breach,Critical,Customer credit card information exposed.,customer credit card information expose,80
268,Cyber Attack,Critical,Malicious software detected on company network.,malicious software detect company network,78
269,Hardware Failure,Critical,Power outage caused server shutdown.,power outage cause server shutdown,53
270,Network Outage,High,Intermittent issues with external connectivity.,intermittent issue external connectivity,44
271,Software Bug,Medium,User interface not displaying correctly on mobile.,user interface display correctly mobile,70
272,Server Outage,High,Main application server rebooted unexpectedly.,main application server reboot unexpectedly,22
273,Data Breach,Critical,Data leak from cloud storage provider.,datum leak cloud storage provider,82
274,Cyber Attack,Critical,Attempted data exfiltration detected.,attempt datum exfiltration detect,72
275,Hardware Failure,Critical,Failure of backup power supply.,failure backup power supply,12
276,Network Outage,High,Local network outage affecting all employees.,local network outage affect employee,39
277,Software Bug,Medium,Inconsistent data display in user profiles.,inconsistent datum display user profile,45
278,Server Outage,Critical,Monitoring system reported server crash.,monitoring system report server crash,58
279,Data Breach,Critical,User data accessed without authorization.,user datum access without authorization,43
280,Cyber Attack,Critical,Security breach in web application.,security breach web application,31
281,Hardware Failure,Medium,Faulty network card causing connectivity issues.,faulty network card cause connectivity issue,21
282,Network Outage,High,VPN service down for remote employees.,vpn service remote employee,26
283,Software Bug,High,Error in payment processing module.,payment processing module,20
284,Server Outage,Medium,Application server down for scheduled maintenance.,application server schedule maintenance,16
285,Data Breach,Critical,Unauthorized access to admin panel detected.,unauthorized access admin panel detect,69
286,Cyber Attack,Critical,Malware infection on file server.,malware infection file server,90
287,Hardware Failure,Critical,Failed hard drive in backup server.,fail hard drive backup server,42
288,Network Outage,High,Internet service disruption due to ISP issues.,internet service disruption due isp issue,39
289,Software Bug,Medium,Page not loading correctly on certain browsers.,page load correctly certain browser,48
290,Server Outage,Critical,Database server went offline during peak usage.,database server go offline peak usage,37
291,Data Breach,Critical,Confidential documents leaked to public.,confidential document leak public,41
292,Cyber Attack,High,Suspicious activity detected on user accounts.,suspicious activity detect user account,18
293,Hardware Failure,Critical,Power failure caused multiple servers to shut down.,power failure cause multiple server shut,53
294,Network Outage,High,Office network down for 4 hours.,office network 4 hour,36
295,Software Bug,Medium,Incorrect user permissions assigned in the system.,incorrect user permission assign system,35
296,Server Outage,High,Test server crashed during load testing.,test server crash load testing,54
297,Data Breach,Critical,Data exposed due to unsecured API endpoints.,datum expose due unsecured api endpoint,11
298,Cyber Attack,High,Malicious login attempts detected from multiple IPs.,malicious login attempt detect multiple ips,18
299,Hardware Failure,Medium,Network switch failure causing outages.,network switch failure cause outage,17
300,Network Outage,High,Office Wi-Fi down for several hours.,office wifi several hour,36
301,Software Bug,Medium,Application does not support new file formats.,application support new file format,15
302,Server Outage,Critical,Main server went down due to power issues.,main server go due power issue,53
303,Data Breach,Critical,Sensitive user data leaked through third-party app.,sensitive user datum leak thirdparty app,43
304,Cyber Attack,High,Attempted SQL injection detected and blocked.,attempt sql injection detected block,0
305,Hardware Failure,Critical,Server room air conditioning failure.,server room air conditioning failure,8
306,Network Outage,Medium,Intermittent connectivity issues reported by users.,intermittent connectivity issue report user,44
307,Software Bug,High,Feature not functioning after recent update.,feature function recent update,28
308,Server Outage,High,Backup server down during critical backup.,backup server critical backup,42
309,Data Breach,Critical,User accounts compromised in a social engineering attack.,user account compromise social engineering attack,67
310,Cyber Attack,Critical,Malware detected on multiple endpoints.,malware detect multiple endpoint,38
311,Hardware Failure,Critical,Failed power supply in critical server.,fail power supply critical server,12
312,Network Outage,High,VPN service unavailable for remote access.,vpn service unavailable remote access,26
313,Software Bug,Medium,Application fails to load user settings.,application fail load user setting,35
314,Server Outage,High,Development server crashed during deployment.,development server crash deployment,54
315,Data Breach,Critical,Sensitive data leaked due to unpatched vulnerability.,sensitive datum leak due unpatched vulnerability,82
316,Cyber Attack,High,Brute force attack on admin accounts detected.,brute force attack admin account detect,18
317,Hardware Failure,Medium,Network cable failure causing disruption.,network cable failure cause disruption,86
318,Network Outage,High,Local network down for 3 hours.,local network 3 hour,89
319,Software Bug,Medium,Incorrect error messages displayed in application.,incorrect message display application,74
320,Server Outage,Critical,Application server went offline unexpectedly.,application server go offline unexpectedly,37
321,Data Breach,Critical,User data exposed due to insecure storage.,user datum expose due insecure storage,11
322,Cyber Attack,High,Suspicious file uploads detected on server.,suspicious file upload detect server,90
323,Hardware Failure,Critical,Failed hard drive in primary server.,fail hard drive primary server,6
324,Network Outage,High,Internet connectivity issues affecting all users.,internet connectivity issue affect user,44
325,Software Bug,Medium,Application does not support new user roles.,application support new user role,35
326,Server Outage,Medium,Staging server down for maintenance.,stage server maintenance,16
327,Data Breach,Critical,Customer data leaked through unencrypted channels.,customer datum leak unencrypted channel,82
328,Cyber Attack,High,Malicious login attempts from foreign IP addresses.,malicious login attempt foreign ip address,18
329,Software Bug,High,User unable to reset password due to error.,user unable reset password due,9
330,Server Outage,Critical,Database server went offline unexpectedly.,database server go offline unexpectedly,37
331,Data Breach,Critical,Sensitive information leaked through third-party vendor.,sensitive information leak thirdparty vendor,5
332,Cyber Attack,Critical,Malware infection detected on company network.,malware infection detect company network,38
333,Software Bug,High,Application crashes when processing specific data.,application crash process specific datum,81
334,Cyber Attack,High,Malicious login attempts detected.,malicious login attempt detect,18
335,Data Breach,Critical,Sensitive information leaked through third-party app.,sensitive information leak thirdparty app,5
336,Software Bug,High,Database connection error causing downtime in production environment,database connection cause downtime production environment,1
337,Server Outage,Critical,Unexpected server crash affecting user access,unexpected server crash affect user access,62
338,Data Breach,Critical,Unauthorized access to customer data due to weak encryption,unauthorized access customer datum due weak encryption,43
339,Cyber Attack,Severe,Ransomware attack encrypting critical files,ransomware attack encrypt critical file,10
340,Hardware Failure,Medium,Power supply failure leading to server shutdown,power supply failure lead server shutdown,12
341,Network Outage,High,Intermittent network connectivity issues impacting service,intermittent network connectivity issue impact service,44
342,Software Bug,High,Code deployment causing application to malfunction,code deployment cause application malfunction,68
343,Server Outage,Critical,Cloud service provider experiencing outage affecting hosted applications,cloud service provider experience outage affect host application,65
344,Data Breach,Critical,Sensitive data leaked through misconfigured server settings,sensitive datum leak misconfigured server setting,82
345,Cyber Attack,Severe,Distributed denial-of-service attack disrupting online services,distribute denialofservice attack disrupt online service,34
346,Hardware Failure,High,Faulty hard drive leading to data loss,faulty hard drive lead datum loss,75
347,Network Outage,Medium,VPN failure causing remote work disruptions,vpn failure cause remote work disruption,26
348,Software Bug,High,Software update causing incompatibility with existing system,software update cause incompatibility exist system,68
349,Hardware Failure,Severe,Data center cooling system failure causing equipment overheating,data center cool system failure cause equipment overheat,8
350,Cyber Attack,High,Phishing attack leading to compromised employee credentials,phishe attack lead compromise employee credential,3
351,Server Outage,High,Unexpected downtime due to server misconfiguration,unexpected downtime due server misconfiguration,61
352,Data Breach,Critical,Data leakage from an unsecured backup file,data leakage unsecured backup file,41
353,Software Bug,High,Application crashing under high user load,application crash high user load,13
354,Hardware Failure,Severe,Hardware malfunction in primary database server,hardware malfunction primary database server,6
355,Cyber Attack,High,Network intrusion attempt detected and mitigated,network intrusion attempt detect mitigate,50
356,Data Breach,Critical,Software vulnerability exploited leading to unauthorized access,software vulnerability exploit lead unauthorized access,24
357,Server Outage,High,Server downtime caused by unplanned maintenance,server downtime cause unplanned maintenance,61
358,Network Outage,Medium,Intermittent internet connection affecting user experience,intermittent internet connection affect user experience,44
359,Software Bug,High,Bug in authentication module leading to login issues,bug authentication module lead login issue,33
360,Hardware Failure,Medium,Power outage causing temporary unavailability of services,power outage cause temporary unavailability service,53
361,Cyber Attack,Severe,Website defacement by malicious actors,website defacement malicious actor,34
362,Software Bug,High,Data corruption due to faulty software update,datum corruption due faulty software update,30
363,Data Breach,Critical,Firewall configuration error exposing internal network,firewall configuration expose internal network,0
364,Server Outage,Medium,Unexpected server reboot due to firmware bug,unexpected server reboot due firmware bug,22
365,Network Outage,High,Connection failure between distributed systems affecting service,connection failure distribute system affect service,39
366,Software Bug,High,Application freeze due to memory leak,application freeze due memory leak,56
367,Hardware Failure,Severe,Loss of critical data due to RAID array failure,loss critical datum due raid array failure,75
368,Cyber Attack,High,Man-in-the-middle attack intercepting sensitive communications,maninthemiddle attack intercept sensitive communication,0
369,Network Outage,Medium,Temporary network outage due to ISP issues,temporary network outage due isp issue,27
370,Software Bug,High,Deployment error causing system-wide instability,deployment cause systemwide instability,54
371,Data Breach,Critical,Insecure API leading to unauthorized data access,insecure api lead unauthorized data access,64
372,Server Outage,Medium,Server downtime due to power fluctuation,server downtime due power fluctuation,61
373,Cyber Attack,High,Malware infection on workstation impacting productivity,malware infection workstation impact productivity,78
374,Hardware Failure,Severe,Hardware failure leading to system crashes,hardware failure lead system crash,22
375,Software Bug,High,Data integrity issue due to synchronization error,data integrity due synchronization,59
